submission_id,zip,age,gender,cups,cups_num,home_brew,party
QABllp,90041,35-44 years old,Male,3,3,"Pour over, Cold brew, French press",Democrat
RzByNJ,94131,25-34 years old,Male,1,1,Pour over,Democrat
oAVLP1,47401,35-44 years old,Male,2,2,"Pour over, Espresso",No affiliation
kYRBj1,34239,35-44 years old,Male,2,2,Pour over,Democrat
EPb79q,60076,35-44 years old,Male,3,3,Other,Democrat
aBrqMq,75071,18-24 years old,Male,1,1,Pour over,Republican
GrBAVZ,78245,25-34 years old,Male,2,2,"Pour over, Espresso, Coffee extract (e.g. Cometeer), Other",Independent
5dqP7d,24014,25-34 years old,Male,1,1,Other,Democrat
kYRBL6,48105,18-24 years old,Male,2,2,Pour over,Democrat
DVv6oR,55414,18-24 years old,Prefer not to say,1,1,Other,No affiliation
GrBAGj,65203,18-24 years old,Male,2,2,"Pour over, Cold brew, Other",Independent
24xG9L,30008,25-34 years old,Male,1,1,Other,Democrat
lNlkGW,94131,35-44 years old,Male,2,2,Espresso,Democrat
vNx58v,92865,25-34 years old,Female,2,2,Coffee brewing machine (e.g. Mr. Coffee),Democrat
g5N6BN,27519,18-24 years old,Male,Less than 1,0,NA,Democrat
OABMRK,87123,25-34 years old,Female,2,2,"Pour over, Pod/capsule machine (e.g. Keurig/Nespresso)",Democrat
eBxWVq,64133,45-54 years old,Male,2,2,"Pour over, Coffee extract (e.g. Cometeer), Bean-to-cup machine, Coffee brewing machine (e.g. Mr. Coffee)",No affiliation
g5N621,45224,25-34 years old,Male,1,1,Pour over,No affiliation
5dqPJM,11206,35-44 years old,Non-binary,Less than 1,0,"Espresso, Cold brew",Independent
7d9ryL,49426,25-34 years old,Male,1,1,"Pour over, Espresso, Pod/capsule machine (e.g. Keurig/Nespresso)",Democrat
aBrq7E,90603,45-54 years old,Male,1,1,Pour over,No affiliation
XeBPa4,95826,55-64 years old,Female,2,2,"Coffee brewing machine (e.g. Mr. Coffee), Other",No affiliation
24xGGL,93274,18-24 years old,Male,1,1,Pour over,Democrat
aBrqqq,98028,25-34 years old,Male,2,2,"French press, Pour over, Espresso, Instant coffee, Other",Democrat
VZ1O6v,77054,25-34 years old,Male,2,2,"Pour over, Other",No affiliation
AlbeM0,44124,35-44 years old,Male,2,2,"Pour over, French press, Cold brew",Democrat
xdN5GG,60048,25-34 years old,Male,2,2,Pour over,Democrat
oAVLJX,90007,18-24 years old,Female,Less than 1,0,NA,Democrat
lNlkx5,44125,55-64 years old,Male,4,4,"French press, Espresso, Coffee brewing machine (e.g. Mr. Coffee)",Independent
ZdRrqa,98221,25-34 years old,Female,2,2,"French press, Coffee brewing machine (e.g. Mr. Coffee)",Democrat
OABM28,79039,45-54 years old,Male,More than 4,5,"Coffee brewing machine (e.g. Mr. Coffee), Cold brew, Instant coffee",Independent
xdN5by,16823,25-34 years old,Female,1,1,"Pour over, Pod/capsule machine (e.g. Keurig/Nespresso)",Independent
ylq5Lp,28262,25-34 years old,Non-binary,Less than 1,0,"Pod/capsule machine (e.g. Keurig/Nespresso), French press",Democrat
jB9A4x,27707,25-34 years old,Male,4,4,"Espresso, Other, French press, Cold brew",Democrat
oAVLZP,23221,25-34 years old,Female,2,2,"Pour over, Espresso, Coffee extract (e.g. Cometeer), Coffee brewing machine (e.g. Mr. Coffee)",No affiliation
EPb77X,74604,45-54 years old,Male,3,3,"Espresso, Other",No affiliation
pLPpQV,2906,18-24 years old,Male,Less than 1,0,"Pour over, Instant coffee, Cold brew",NA
OABMq7,95112,25-34 years old,Male,2,2,Espresso,No affiliation
PABJJ5,55422,45-54 years old,Male,2,2,Pour over,Democrat
1r2oQQ,23221,25-34 years old,Male,4,4,"Pour over, Espresso, Coffee brewing machine (e.g. Mr. Coffee), Coffee extract (e.g. Cometeer)",No affiliation
